Section;h, mm;b, mm;t, mm;A, cm2;Ix, cm4;Wx, cm3;rx, cm;Iy, cm4;Wy, cm3;ry, cm;R, mm;m, kg/m
400x300x21;400;300;21;257.4;53886;2694;14.47;34597;2306;11.59;63;202.1
400x300x22;400;300;22;267.8;55563;2778;14.4;35659;2377;11.54;66;210.2
450x350x7;450;350;7;108.4;32866;1461;17.42;22447;1283;14.39;17.5;85.06
450x350x7.5;450;350;7.5;115.8;35020;1556;17.39;23912;1366;14.37;18.75;90.91
450x350x8;450;350;8;123.2;37149;1651;17.36;25359;1449;14.34;20;96.74
450x350x8.5;450;350;8.5;130.6;39253;1745;17.34;26788;1531;14.32;21.25;103
450x350x9;450;350;9;138;41332;1837;17.31;28200;1611;14.3;22.5;108
450x350x9.5;450;350;9.5;145.3;43386;1928;17.28;29593;1691;14.27;23.75;114
450x350x10;450;350;10;152.6;45416;2018;17.25;30969;1770;14.25;25;120
450x350x10.5;450;350;10.5;158.8;46931;2086;17.19;32031;1830;14.2;31.5;125
450x350x11;450;350;11;166;48863;2172;17.16;33342;1905;14.17;33;130
450x350x11.5;450;350;11.5;173;50768;2256;17.13;34635;1979;14.15;34.5;136
450x350x12;450;350;12;180;52646;2340;17.1;35909;2052;14.12;36;141
450x350x12.5;450;350;12.5;187;54498;2422;17.07;37165;2124;14.1;37.5;147
450x350x13;450;350;13;194;56323;2503;17.04;38402;2194;14.07;39;152
450x350x13.5;450;350;13.5;200.9;58121;2583;17.01;39621;2264;14.04;40.5;158
450x350x14;450;350;14;207.7;59894;2662;16.98;40821;2333;14.02;42;163
450x350x14.5;450;350;14.5;214.5;61640;2740;16.95;42003;2400;13.99;43.5;168
450x350x15;450;350;15;221.3;63359;2816;16.92;43166;2467;13.97;45;174
450x350x15.5;450;350;15.5;228.1;65053;2891;16.89;44312;2532;13.94;46.5;179
450x350x16;450;350;16;234.8;66721;2965;16.86;45440;2597;13.91;48;184
450x350x16.5;450;350;16.5;241.4;68363;3038;16.83;46549;2660;13.89;49.5;190
450x350x17;450;350;17;248;69979;3110;16.8;47641;2722;13.86;51;195
450x350x17.5;450;350;17.5;254.6;71569;3181;16.77;48715;2784;13.83;52.5;200
450x350x18;450;350;18;261.1;73134;3250;16.74;49771;2844;13.81;54;205
450x350x18.5;450;350;18.5;267.6;74673;3319;16.7;50810;2903;13.78;55.5;210
450x350x19;450;350;19;274;76187;3386;16.67;51831;2962;13.75;57;215
450x350x20;450;350;20;286.8;79139;3517;16.61;53820;3075;13.7;60;225
450x350x21;450;350;21;299.4;81990;3644;16.55;55741;3185;13.64;63;235
450x350x22;450;350;22;311.8;84742;3766;16.49;57593;3291;13.59;66;245
500x300x7;500;300;7;108.4;37868;1515;18.69;17381;1159;12.67;17.5;85.06
500x300x7.5;500;300;7.5;115.8;40350;1614;18.67;18509;1234;12.64;18.75;90.91
500x300x8;500;300;8;123.2;42803;1712;18.64;19623;1308;12.62;20;96.74
500x300x8.5;500;300;8.5;130.6;45227;1809;18.61;20722;1381;12.6;21.25;102.5
500x300x9;500;300;9;138;47621;1905;18.58;21806;1454;12.57;22.5;108.3
500x300x9.5;500;300;9.5;145.3;49987;1999;18.55;22876;1525;12.55;23.75;114
500x300x10;500;300;10;152.6;52324;2093;18.52;23932;1595;12.52;25;119.8
500x300x10.5;500;300;10.5;158.8;54030;2161;18.44;24754;1650;12.48;31.5;124.7
500x300x11;500;300;11;166;56251;2250;18.41;25759;1717;12.46;33;130.3
500x300x11.5;500;300;11.5;173;58440;2338;18.38;26750;1783;12.43;34.5;135.8
500x300x12;500;300;12;180;60598;2424;18.35;27725;1848;12.41;36;141.3
500x300x12.5;500;300;12.5;187;62726;2509;18.31;28685;1912;12.38;37.5;146.8
500x300x13;500;300;13;194;64822;2593;18.28;29630;1975;12.36;39;152.3
500x300x13.5;500;300;13.5;200.9;66887;2675;18.25;30561;2037;12.33;40.5;157.7
500x300x14;500;300;14;207.7;68922;2757;18.21;31476;2098;12.31;42;163.1
500x300x14.5;500;300;14.5;214.5;70926;2837;18.18;32377;2158;12.28;43.5;168.4
500x300x15;500;300;15;221.3;72899;2916;18.15;33264;2218;12.26;45;173.7
500x300x15.5;500;300;15.5;228.1;74842;2994;18.12;34135;2276;12.23;46.5;179
500x300x16;500;300;16;234.8;76755;3070;18.08;34993;2333;12.21;48;184.3
500x300x16.5;500;300;16.5;241.4;78637;3145;18.05;35835;2389;12.18;49.5;189.5
500x300x17;500;300;17;248;80490;3220;18.01;36664;2444;12.16;51;194.7
500x300x17.5;500;300;17.5;261.1;84104;3364;17.95;38278;2552;12.11;52.5;205
500x300x18;500;300;18;267.6;85867;3435;17.91;39064;2604;12.08;54;210.1
500x300x18.5;500;300;18.5;274;87599;3504;17.88;39836;2656;12.06;55.5;215.1
500x300x19.5;500;300;19.5;286.8;90976;3639;17.81;41339;2756;12.01;58.5;225.1
500x300x20;500;300;20;299.4;94235;3769;17.74;42786;2852;11.95;60;235
500x300x21.5;500;300;21.5;311.8;97376;3895;17.67;44178;2945;11.9;64.5;244.8
500x300x22;500;300;22;261.1;84104;3364;17.95;38278;2552;12.11;66;205
