№;B;b;t;m;A;R;r;Jx;Wx;ix;Jy;Wy;iy;Jx0;ix0;Jy0;Wy0;iy0;Jxy;x0;y0
120_120_8;0.12;0.12;0.008;14.8;0.00188;0.012;0.004;0.000002598;0.0000297;0.0372;0.000002598;0.0000297;0.0372;0.000004125;0.0468;1.0704E-06;0.00002329;0.0239;0.00000153;0.0325;0.0325
120_120_10;0.12;0.12;0.01;18.2;0.002324;0.012;0.004;0.000003172;0.0000366;0.0369;0.000003172;0.0000366;0.0369;0.000005038;0.0466;1.3054E-06;0.00002772;0.0237;0.00000187;0.0333;0.0333
120_120_12;0.12;0.12;0.012;21.7;0.00276;0.012;0.004;0.000003718;0.0000433;0.0367;0.000003718;0.0000433;0.0367;0.000005903;0.0462;1.5333E-06;0.00003179;0.0236;0.00000218;0.0341;0.0341
120_120_15;0.12;0.12;0.015;26.7;0.003399;0.012;0.004;0.000004489;0.000053;0.0363;0.000004489;0.000053;0.0363;0.000007113;0.0457;1.8648E-06;0.00003735;0.0234;0.00000262;0.0353;0.0353
125_125_8;0.125;0.125;0.008;15.5;0.001974;0.014;0.0046;0.000002944;0.0000322;0.0387;0.000002944;0.0000322;0.0387;0.00000467;0.0487;0.00000122;0.0000257;0.0249;0.00000172;0.0336;0.0336
125_125_9;0.125;0.125;0.009;17.3;0.0022;0.014;0.0046;0.000003275;0.000036;0.0386;0.000003275;0.000036;0.0386;0.0000052;0.0486;0.000001359;0.0000283;0.0248;0.00000192;0.034;0.034
125_125_10;0.125;0.125;0.01;19.1;0.00243;0.014;0.0046;0.000003598;0.00003974;0.0385;0.000003598;0.00003974;0.0385;0.00000571;0.0484;0.000001486;0.0000305;0.0247;0.00000211;0.0345;0.0345
125_125_12;0.125;0.125;0.012;22.7;0.002891;0.014;0.0046;0.000004222;0.00004706;0.0382;0.000004222;0.00004706;0.0382;0.0000067;0.0482;0.000001744;0.0000349;0.0246;0.00000248;0.0353;0.0353
125_125_14;0.125;0.125;0.014;26.2;0.003337;0.014;0.0046;0.000004818;0.00005417;0.038;0.000004818;0.00005417;0.038;0.00000764;0.0478;0.000001996;0.0000391;0.0245;0.00000282;0.0361;0.0361
125_125_16;0.125;0.125;0.016;29.6;0.00377;0.014;0.0046;0.000005386;0.00006109;0.0378;0.000005386;0.00006109;0.0378;0.00000853;0.0475;0.000002243;0.0000431;0.0244;0.00000315;0.0368;0.0368
140_140_9;0.14;0.14;0.009;19.4;0.002472;0.014;0.0046;0.000004657;0.00004555;0.0434;0.000004657;0.00004555;0.0434;0.00000739;0.0547;0.00000192;0.0000359;0.0279;0.00000274;0.0378;0.0378
140_140_10;0.14;0.14;0.01;21.5;0.002733;0.014;0.0046;0.000005123;0.00005032;0.0433;0.000005123;0.00005032;0.0433;0.00000814;0.0546;0.00000211;0.0000391;0.0278;0.00000301;0.0382;0.0382
140_140_12;0.14;0.14;0.012;25.5;0.003249;0.014;0.0046;0.000006025;0.00005966;0.0431;0.000006025;0.00005966;0.0431;0.00000957;0.0543;0.00000248;0.00004497;0.0276;0.00000354;0.039;0.039
150_150_10;0.15;0.15;0.01;23;0.002933;0.014;0.0046;0.000006348;0.00005807;0.0465;0.000006348;0.00005807;0.0465;0.000010086;0.0586;0.00000261;0.00004534;0.0298;0.00000374;0.0407;0.0407
150_150_12;0.15;0.15;0.012;27.4;0.003489;0.014;0.0046;0.000007475;0.0000689;0.0463;0.000007475;0.0000689;0.0463;0.000011879;0.0583;0.000003071;0.00005232;0.0297;0.0000044;0.0415;0.0415
150_150_15;0.15;0.15;0.015;33.8;0.004308;0.014;0.0046;0.000009084;0.00008466;0.0459;0.000009084;0.00008466;0.0459;0.000014426;0.0579;0.000003742;0.00006196;0.0295;0.00000534;0.0427;0.0427
150_150_18;0.15;0.15;0.018;40.1;0.005109;0.014;0.0046;0.000010601;0.00009986;0.0456;0.000010601;0.00009986;0.0456;0.000016809;0.0574;0.000004392;0.00007091;0.0293;0.00000621;0.0438;0.0438
160_160_10;0.16;0.16;0.01;24.7;0.00314;0.016;0.0053;0.000007742;0.0000662;0.0496;0.000007742;0.0000662;0.0496;0.00001229;0.0625;0.00000319;0.0000525;0.0319;0.00000455;0.043;0.043
160_160_11;0.16;0.16;0.011;27;0.003439;0.016;0.0053;0.000008442;0.0000724;0.0495;0.000008442;0.0000724;0.0495;0.00001341;0.0624;0.00000348;0.0000565;0.0318;0.00000496;0.0435;0.0435
160_160_12;0.16;0.16;0.012;29.4;0.00374;0.016;0.0053;0.000009129;0.0000786;0.0494;0.000009129;0.0000786;0.0494;0.0000145;0.0623;0.00000376;0.0000605;0.0317;0.00000537;0.0439;0.0439
160_160_14;0.16;0.16;0.014;34;0.00433;0.016;0.0053;0.000010465;0.0000908;0.0492;0.000010465;0.0000908;0.0492;0.00001662;0.062;0.00000431;0.0000682;0.0316;0.00000615;0.0447;0.0447
160_160_16;0.16;0.16;0.016;38.5;0.004903;0.016;0.0053;0.000011752;0.0001026;0.0489;0.000011752;0.0001026;0.0489;0.00001866;0.0617;0.00000485;0.0000759;0.0314;0.0000069;0.0455;0.0455
160_160_18;0.16;0.16;0.018;43;0.005476;0.016;0.0053;0.000012902;0.0001142;0.0487;0.000012902;0.0001142;0.0487;0.00002061;0.0613;0.00000537;0.0000821;0.0313;0.00000771;0.0463;0.0463
160_160_20;0.16;0.16;0.02;47.7;0.006075;0.016;0.0053;0.000014189;0.0001256;0.0485;0.000014189;0.0001256;0.0485;0.00002248;0.061;0.00000589;0.00009002;0.0312;0.0000083;0.047;0.047
180_180_11;0.18;0.18;0.011;30.5;0.00388;0.016;0.0053;0.00001216;0.0000925;0.056;0.00001216;0.0000925;0.056;0.00001933;0.0706;0.000005;0.0000729;0.0359;0.00000716;0.0485;0.0485
180_180_12;0.18;0.18;0.012;33.1;0.00422;0.016;0.0053;0.00001317;0.0001004;0.0559;0.00001317;0.0001004;0.0559;0.00002093;0.0704;0.0000054;0.0000782;0.0358;0.00000776;0.0489;0.0489
180_180_15;0.18;0.18;0.015;41;0.005218;0.016;0.0053;0.000016074;0.0001237;0.0555;0.000016074;0.0001237;0.0555;0.00002555;0.07;0.000006597;0.0000931;0.0356;0.00000948;0.0501;0.0501
180_180_18;0.18;0.18;0.018;48.7;0.006199;0.016;0.0053;0.000018841;0.0001464;0.0551;0.000018841;0.0001464;0.0551;0.000029927;0.0695;0.000007754;0.0001069;0.0354;0.00001108;0.0513;0.0513
180_180_20;0.18;0.18;0.02;53.7;0.006843;0.016;0.0053;0.000020611;0.0001611;0.0549;0.000020611;0.0001611;0.0549;0.000032713;0.0691;0.000008509;0.0001157;0.0353;0.0000121;0.052;0.052
200_200_12;0.2;0.2;0.012;37;0.00471;0.018;0.006;0.000018228;0.0001246;0.0622;0.000018228;0.0001246;0.0622;0.00002896;0.0784;0.000007494;0.0000987;0.0399;0.00001073;0.0537;0.0537
